event_id,event_name,start_date_time,end_date_time,event_agency,event_type,event_borough,event_location,event_street_side,street_closure_type,community_board,police_precinct,latitude,longitude
788138,Open Streets: Summer Streets - Manhattan 2,08/10/2024 07:00:00 AM,08/10/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,"CENTRE STREET between PARK ROW and WORTH STREET,  LAFAYETTE STREET between READE STREET and SPRING STREET,  LAFAYETTE STREET between WORTH STREET and WANAMAKER PLACE,  4 AVENUE between ASTOR PLACE and EAST   14 STREET,  UNION SQUARE EAST between EAST   14 STREET and EAST   17 STREET,  PARK AVENUE SOUTH between EAST   17 STREET and EAST   32 STREET,  EAST  109 STREET between PARK AVENUE and 5 AVENUE,  WEST  110 STREET between DUKE ELLINGTON CIRCLE and ADAM CLAYTON POWELL BOULEVARD,  ADAM CLAYTON POWELL BOULEVARD between WEST  110 STREET and WEST  125 STREET,  PARK AVENUE between EAST   33 STREET and EAST  109 STREET,  PARK AVENUE between EAST   32 STREET and EAST   33 STREET,  5 AVENUE between EAST 109 ST and DUKE ELLINGTON CIRCLE,  READE STREET between ELK STREET and BROADWAY,  CHAMBERS STREET between CENTRE STREET and ELK STREET,  COOPER SQUARE between EAST    6 STREET and EAST    8 STREET,  ASTOR PLACE between LAFAYETTE STREET and BROADWAY,  MADISON AVENUE between EAST   23 STREET and EAST   26 STREET,  EAST   27 STREET between PARK AVENUE SOUTH and MADISON AVENUE,  EAST   41 STREET between PARK AVENUE and MADISON AVENUE,  EAST   52 STREET between MADISON AVENUE and LEXINGTON AVENUE,  EAST   53 STREET between PARK AVENUE and LEXINGTON AVENUE,  PARK AVENUE between EAST  109 STREET and EAST  110 STREET,  EAST  109 STREET between PARK AVENUE and LEXINGTON AVENUE,  WEST  124 STREET between ADAM CLAYTON POWELL JR BOULEVARD and MALCOLM X BOULEVARD,  WEST  122 STREET between ADAM CLAYTON POWELL JR BOULEVARD and MALCOLM X BOULEVARD, Astor Place Plaza (North): Astor Place Plaza (North) 8 STREET between 4 AVE and LAFAYETTE ST, Astor Place Plaza (South): Astor Place Plaza (South) EAST    8 STREET between 4 AVENUE and LAFAYETTE STREET,  EAST   26 STREET between MADISON AVENUE and LEXINGTON AVENUE,  EAST   27 STREET between PARK AVENUE SOUTH and LEXINGTON AVENUE,  CLEVELAND PLACE between SPRING STREET and KENMARE STREET,  KENMARE STREET between LAFAYETTE STREET and CLEVELAND",Full,Full Street Closure,"1, 10, 11, 2, 3, 5, 6, 64, 8,","1, 13, 14, 17, 18, 19, 22, 23, 28, 5, 9,",40.7138,-74.0016
788142,Open Streets: Summer Streets - Manhattan 3,08/17/2024 07:00:00 AM,08/17/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,"CENTRE STREET between PARK ROW and WORTH STREET,  LAFAYETTE STREET between READE STREET and SPRING STREET,  LAFAYETTE STREET between WORTH STREET and WANAMAKER PLACE,  4 AVENUE between ASTOR PLACE and EAST   14 STREET,  UNION SQUARE EAST between EAST   14 STREET and EAST   17 STREET,  PARK AVENUE SOUTH between EAST   17 STREET and EAST   32 STREET,  EAST  109 STREET between PARK AVENUE and 5 AVENUE,  WEST  110 STREET between DUKE ELLINGTON CIRCLE and ADAM CLAYTON POWELL BOULEVARD,  ADAM CLAYTON POWELL BOULEVARD between WEST  110 STREET and WEST  125 STREET,  PARK AVENUE between EAST   33 STREET and EAST  109 STREET,  PARK AVENUE between EAST   32 STREET and EAST   33 STREET,  5 AVENUE between EAST 109 STREET and DUKE ELLINGTON CIRCLE,  READE STREET between ELK STREET and BROADWAY,  CHAMBERS STREET between CENTRE STREET and ELK STREET,  COOPER SQUARE between EAST    6 STREET and EAST    8 STREET,  ASTOR PLACE between LAFAYETTE STREET and BROADWAY,  MADISON AVENUE between EAST   23 STREET and EAST   26 STREET,  EAST   27 STREET between PARK AVENUE SOUTH and MADISON AVENUE,  EAST   41 STREET between PARK AVENUE and MADISON AVENUE,  EAST   52 STREET between MADISON AVENUE and LEXINGTON AVENUE,  EAST   53 STREET between PARK AVENUE and LEXINGTON AVENUE,  PARK AVENUE between EAST  109 STREET and EAST  110 STREET,  EAST  109 STREET between PARK AVENUE and LEXINGTON AVENUE,  WEST  124 STREET between ADAM CLAYTON POWELL JR BOULEVARD and MALCOLM X BOULEVARD,  WEST  122 STREET between ADAM CLAYTON POWELL JR BOULEVARD and MALCOLM X BOULEVARD, Astor Place Plaza (North): Astor Place Plaza (North) 8 STREET between 4 AVE and LAFAYETTE ST, Astor Place Plaza (South): Astor Place Plaza (South) EAST    8 STREET between 4 AVENUE and LAFAYETTE STREET,  EAST   26 STREET between MADISON AVENUE and LEXINGTON AVENUE,  EAST   27 STREET between PARK AVENUE SOUTH and LEXINGTON AVENUE,  CLEVELAND PLACE between SPRING STREET and KENMARE STREET,  KENMARE STREET between LAFAYETTE STREET and CLEVEL",Full,Full Street Closure,"1, 10, 11, 2, 3, 5, 6, 64, 8,","1, 13, 14, 17, 18, 19, 22, 23, 28, 5, 6, 9,",40.7138,-74.0016
788125,Open Streets: Summer Streets - Manhattan 1,08/03/2024 07:00:00 AM,08/03/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,"CENTRE STREET between PARK ROW and WORTH STREET,  LAFAYETTE STREET between READE STREET and SPRING STREET,  LAFAYETTE STREET between WORTH STREET and WANAMAKER PLACE,  4 AVENUE between ASTOR PLACE and EAST   14 STREET,  UNION SQUARE EAST between EAST   14 STREET and EAST   17 STREET,  PARK AVENUE SOUTH between EAST   17 STREET and EAST   32 STREET,  EAST  109 STREET between PARK AVENUE and 5 AVENUE,  WEST  110 STREET between DUKE ELLINGTON CIRCLE and ADAM CLAYTON POWELL BOULEVARD,  ADAM CLAYTON POWELL BOULEVARD between WEST  110 STREET and WEST  125 STREET,  PARK AVENUE between EAST   33 STREET and EAST  109 STREET,  PARK AVENUE between EAST   32 STREET and EAST   33 STREET,  5 AVENUE between EAST 109 STREET and DUKE ELLINGTON CIRCLE,  READE STREET between ELK STREET and BROADWAY,  COOPER SQUARE between EAST    6 STREET and EAST    8 STREET,  ASTOR PLACE between LAFAYETTE STREET and BROADWAY,  MADISON AVENUE between EAST   23 STREET and EAST   26 STREET,  EAST   27 STREET between PARK AVENUE SOUTH and MADISON AVENUE,  EAST   41 STREET between PARK AVENUE and MADISON AVENUE,  EAST   52 STREET between MADISON AVENUE and LEXINGTON AVENUE,  EAST   53 STREET between PARK AVENUE and LEXINGTON AVENUE,  PARK AVENUE between EAST  109 STREET and EAST  110 STREET,  EAST  109 STREET between PARK AVENUE and LEXINGTON AVENUE,  WEST  124 STREET between ADAM CLAYTON POWELL JR BOULEVARD and MALCOLM X BOULEVARD,  WEST  122 STREET between ADAM CLAYTON POWELL JR BOULEVARD and MALCOLM X BOULEVARD, Astor Place Plaza (North): Astor Place Plaza (North) 8 STREET between 4 AVE and LAFAYETTE ST, Astor Place Plaza (South): Astor Place Plaza (South) EAST    8 STREET between 4 AVENUE and LAFAYETTE STREET,  EAST   26 STREET between MADISON AVENUE and LEXINGTON AVENUE,  EAST   27 STREET between PARK AVENUE SOUTH and LEXINGTON AVENUE,  CLEVELAND PLACE between SPRING STREET and KENMARE STREET,  KENMARE STREET between LAFAYETTE STREET and CLEVELAND PLACE,  PARK AVENUE between EAST   40 STREET and EA",Full,Full Street Closure,"1, 10, 11, 2, 3, 5, 6, 64, 8,","1, 13, 14, 17, 18, 19, 22, 23, 28, 5, 9,",40.7138,-74.0016
795035,Back to School Block Party,08/31/2024 01:00:00 PM,08/31/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,CHISUM PLACE between WEST  141 STREET and WEST  142 STREET,Full,Full Street Closure,"10,","32,",40.7775,-73.9497
757221,Stonewall National Monument Visitor Center Grand Opening,06/28/2024 03:30:00 PM,06/28/2024 06:17:00 PM,Street Activity Permit Office,Street Event,Manhattan,"CHRISTOPHER STREET between 7 AVENUE SOUTH and WAVERLY PLACE,  CHRISTOPHER STREET between WAVERLY PLACE and GREENWICH AVENUE,  GROVE STREET between WASHINGTON PLACE and WAVERLY PLACE,  WAVERLY PLACE between CHRISTOPHER STREET and AVENUE OF AMERICAS,  WAVERLY PLACE between WEST   10 STREET and AVENUE OF AMERICAS",Full,Full Street Closure,"2,","6,",40.7326,-74.0052
797719,Back to school block party,09/07/2024 02:00:00 PM,09/07/2024 06:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,CONVENT AVENUE between WEST  145 STREET and WEST  146 STREET,Full,Full Street Closure,"9,","30,",,
799608,Planet Fashion TV,09/07/2024 11:30:00 AM,09/07/2024 09:45:00 PM,Street Activity Permit Office,Street Event,Manhattan,"CORTLAND ALLEY between WALKER ST and WHITE ST,  BROADWAY between WHITE STREET and WALKER STREET",Both,Full Street Closure,"1,","1, 5,",40.7147,-74.0079
765291,Rock the Block 2024,09/08/2024 11:00:00 AM,09/08/2024 01:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,DUANE STREET between GREENWICH STREET and HUDSON STREET,Full,Full Street Closure,"1,","1,",40.7148,-74.0076
781574,East Side Tabernacle Outreach,08/17/2024 11:00:00 AM,08/17/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST    2 STREET between AVENUE B and AVENUE C,Full,Full Street Closure,"3,","9,",40.7204,-73.9884
789810,Harvest Fair,09/28/2024 12:00:00 PM,09/28/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST    5 STREET between AVENUE C and AVENUE D,Full,Full Street Closure,"3,","9,",40.7241,-73.9863
782448,9th Street A-1 Block Association Block Party,09/21/2024 11:00:00 AM,09/21/2024 05:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST    9 STREET between 1 AVENUE and AVENUE A,Full,Full Street Closure,"3,","9,",40.7286,-73.9798
764441,Summer Street theater,08/03/2024 02:00:00 PM,08/03/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST   10 STREET between 1 AVENUE and 2 AVENUE,Full,Full Street Closure,"3,","9,",40.7298,-73.9783
777157,A1 E 10th St Block Party,08/10/2024 09:00:00 AM,08/10/2024 04:30:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST   10 STREET between 1 AVENUE and AVENUE A,Full,Full Street Closure,"3,","9,",40.7298,-73.9783
797801,Savory Autumn Soiree,09/26/2024 05:00:00 PM,09/26/2024 11:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST   17 STREET between PARK AVENUE SOUTH and 5 AVENUE,Full,Full Street Closure,"5,","13,",40.7379,-73.9814
753000,Halloween Block Party,10/31/2024 03:30:00 PM,10/31/2024 08:30:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST   18 STREET between 3 AVENUE and 2 AVENUE,Full,Full Street Closure,"6,","13,",40.7391,-73.9808
808301,PS40 Creepy Carnival,10/26/2024 11:00:00 AM,10/26/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST   21 STREET between 1 AVENUE and 2 AVENUE,Full,Full Street Closure,"6,","13,",40.7425,-73.9791
737850,Abbott Dash to the Finish Line 5K,11/02/2024 07:00:00 AM,11/02/2024 11:30:00 AM,Street Activity Permit Office,Street Event,Manhattan,"EAST   47 STREET between 2 AVENUE and 1 AVENUE,  1 AVENUE between EAST   47 STREET and EAST   42 STREET,  EAST   42 STREET between 1 AVENUE and 6 AVE,  6 AVENUE between WEST   42 STREET and WEST   59 STREET,  WEST   59 STREET between 6 AVENUE and 5 AVENUE,  GRAND ARMY PLAZA between WEST   59 STREET and WEST 60 ST",Full,Full Street Closure,"5, 6, 64,","14, 17, 18, 22,",40.7551,-73.9724
779330,Puma Manchester City Event,07/25/2024 10:00:00 AM,07/25/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,"EAST   49 STREET between 5 AVENUE and MADISON AVENUE,  MADISON AVENUE between EAST   49 STREET and EAST   50 STREET,  MADISON AVENUE between EAST   49 STREET and EAST   48 STREET",Full,Full Street Closure,"5,","18,",40.7569,-73.9712
783727,Beekman Place Association Halloween Party,10/27/2024 03:00:00 PM,10/27/2024 05:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST   50 STREET between BEEKMAN PLACE and DEAD END,Full,Full Street Closure,"6,","17,",40.7578,-73.9705
798059,PS 59 Block Party,09/28/2024 12:00:00 PM,09/28/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST   56 STREET between 2 AVENUE and 3 AVENUE,Full,Full Street Closure,"6,","17,",40.7623,-73.9666
798370,PS 183 Fall Block Party,10/19/2024 12:00:00 PM,10/19/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST   66 STREET between YORK AVENUE and 1 AVENUE,Full,Full Street Closure,"8,","19,",40.7712,-73.9612
797771,Welcome Week Carnival and Club Fair,09/05/2024 12:00:00 PM,09/05/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST   69 STREET between LEXINGTON AVENUE and PARK AVENUE,Full,Full Street Closure,"8,","19,",40.7743,-73.9596
805269,Marymount Manhattan College- Apple Fest 2024,10/25/2024 12:00:00 PM,10/25/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST   71 STREET between 2 AVENUE and 3 AVENUE,Full,Full Street Closure,"8,","19,",40.7759,-73.9585
775143,St. James Church Fall Picnic,09/08/2024 11:00:00 AM,09/08/2024 02:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST   71 STREET between MADISON AVENUE and PARK AVENUE,Full,Full Street Closure,"8,","19,",40.7759,-73.9585
784330,"Madison Avenue Presbyterian Church Sunday, October 6th Homecoming Block Party",10/06/2024 11:30:00 AM,10/06/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST   73 STREET between MADISON AVENUE and PARK AVENUE,Full,Full Street Closure,"8,","19,",40.7779,-73.9571
790946,Ronald McDonald House New York Block Party,09/21/2024 10:00:00 AM,09/21/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST   73 STREET between YORK AVENUE and 1 AVENUE,Full,Full Street Closure,"8,","19,",40.7779,-73.9571
799290,YCS Fall Festival,10/27/2024 11:00:00 AM,10/27/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST   88 STREET between 1 AVENUE and YORK AVENUE,Full,Full Street Closure,"8,","19,",40.7881,-73.9483
754471,Asphalt Screams,10/25/2024 03:30:00 PM,10/25/2024 06:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST   90 STREET between EAST END AVENUE and YORK AVENUE,Full,Full Street Closure,"8,","19,",40.7895,-73.947
764228,Senior Class celebration,06/11/2024 03:00:00 PM,06/11/2024 07:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST   91 STREET between 5 AVENUE and MADISON AVENUE,Full,Full Street Closure,"8,","19,",40.7904,-73.9463
797799,PS 527 Fall Festival,10/20/2024 11:00:00 AM,10/20/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST   92 STREET between 1 AVENUE and 2 AVENUE,Full,Full Street Closure,"8,","19,",40.7913,-73.9456
792913,Homecoming Celebration,09/28/2024 09:30:00 AM,09/28/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST   92 STREET between MADISON AVENUE and 5 AVENUE,Full,Full Street Closure,"8,","19,",40.7913,-73.9456
797595,CHN Annual Halloween Spooktacular,10/31/2024 04:00:00 PM,10/31/2024 05:30:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST   92 STREET between PARK AVENUE and MADISON AVENUE,Full,Full Street Closure,"8,","19,",40.7913,-73.9456
772014,Family Day,08/03/2024 12:00:00 PM,08/03/2024 06:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST   99 STREET between LEXINGTON AVENUE and PARK AVENUE,Full,Full Street Closure,"11,","23,",40.7976,-73.9422
779977,Washington Houses Family Empowerment Day,06/16/2024 12:00:00 PM,06/16/2024 06:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST   99 STREET between SECOND AVENUE and THIRD AVENUE,Full,Full Street Closure,"11,","23,",40.7976,-73.9422
770219,Old Timers Block Party,08/10/2024 12:00:00 PM,08/10/2024 07:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST  100 STREET between 1 AVENUE and 2 AVENUE,Full,Full Street Closure,"11,","23,",40.7984,-73.9415
776218,June Block Party,06/22/2024 12:00:00 PM,06/22/2024 08:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST  100 STREET between 3 AVENUE and LEXINGTON AVENUE,Full,Full Street Closure,"11,","23,",40.7984,-73.9415
776147,Back To School Education Block Party,08/24/2024 11:00:00 AM,08/24/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  100 STREET between LEXINGTON AVENUE and PARK AVENUE,Full,Full Street Closure,"11,","23,",40.7984,-73.9415
791214,Family  Day,08/10/2024 11:30:00 AM,08/10/2024 06:30:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST  101 STREET between 2 AVENUE and 1 AVENUE,Full,Full Street Closure,"11,","23,",40.7993,-73.9407
795985,Ethnic Festival  Back to School Book Bag Giveaway,08/28/2024 10:00:00 AM,08/28/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  104 STREET between 3 AVENUE and 2 AVENUE,Full,Full Street Closure,"11,","23,",40.802,-73.9388
762600,Community Appreciation Day,08/31/2024 12:00:00 PM,08/31/2024 06:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  104 STREET between LEXINGTON AVENUE and 3 AVENUE,Full,Full Street Closure,"11,","23,",40.802,-73.9388
784499,Wilson Houses,08/17/2024 12:00:00 PM,08/17/2024 05:30:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST  105 STREET between 1 AVENUE and FDR DRIVE,Full,Full Street Closure,"11,","23,",40.803,-73.9381
777178,2024 East Harlem Youth Fair,08/15/2024 12:30:00 PM,08/15/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  106 STREET between 3 AVENUE and LEXINGTON AVENUE,Full,Full Street Closure,"11,","23,",40.8039,-73.9373
781594,JungleGym 2024,07/26/2024 12:00:00 PM,07/26/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  106 STREET between LEXINGTON AVENUE and 3 AVENUE,Full,Full Street Closure,"11,","23,",40.8039,-73.9373
779600,Love Day 24,06/29/2024 11:00:00 AM,06/29/2024 07:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST  107 STREET between 5 AVENUE and MADISON AVENUE,Full,Full Street Closure,"11,","23,",40.8048,-73.9365
765019,109 st annual block party,07/06/2024 01:00:00 PM,07/06/2024 07:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST  109 STREET between MADISON AVENUE and FIFTH AVENUE,Full,Full Street Closure,"11,","23,",40.8067,-73.935
774472,Dewitt Clinton Houses Family Day,09/07/2024 12:00:00 PM,09/07/2024 07:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST  110 STREET between LEXINGTON AVENUE and PARK AVENUE,Full,Full Street Closure,"11,","23,",40.8076,-73.9341
784399,Lift Off Cannabis NYC - 4th Annual Juneteenth,06/15/2024 12:00:00 PM,06/15/2024 06:30:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  111 STREET between LEXINGTON AVENUE and PARK AVENUE,Full,Full Street Closure,"11,","23,",40.8085,-73.9333
780624,Maristany Way Anniversary Commemoration,07/13/2024 12:00:00 PM,07/13/2024 07:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  111 STREET between PARK AVENUE and MADISON AVENUE,Full,Full Street Closure,"11,","23,",40.8085,-73.9333
805357,PS 102 Back-To-School Festival,08/29/2024 11:00:00 AM,08/29/2024 02:30:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  113 STREET between 2 AVENUE and 1 AVENUE,Full,Full Street Closure,"11,","23,",40.8104,-73.9315
813199,Youth Leadership Council 2024 Street Activation Jefferson Houses,10/19/2024 01:00:00 PM,10/19/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  113 STREET between DEAD END STREET and 2 AVENUE,Full,Full Street Closure,"11,","23,",40.8104,-73.9315
790548,Back to school event,09/07/2024 12:00:00 PM,09/07/2024 05:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST  114 STREET between 1 AVENUE and PLEASANT AVENUE,Full,Full Street Closure,"11,","23, 25,",40.8113,-73.9306
773370,LOVE ON THE BLOCK- WH,10/19/2024 12:00:00 PM,10/19/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  115 STREET between 2 AVENUE and 3 AVENUE,Full,Full Street Closure,"11,","23, 25,",40.8122,-73.9298
783146,A Day for Dads,06/22/2024 12:00:00 PM,06/22/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  115 STREET between LEXINGTON AVENUE and 3 AVENUE,Full,Full Street Closure,"11,","23, 25,",40.8122,-73.9298
781591,JungleGym 2024,08/16/2024 12:00:00 PM,08/16/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  116 STREET between LEXINGTON AVENUE and 3 AVENUE,Full,Full Street Closure,"11,","25,",40.8131,-73.9289
795109,831 DAY,08/31/2024 11:00:00 AM,08/31/2024 06:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST  117 STREET between 1 AVENUE and PLEASANT AVENUE,Full,Full Street Closure,"11,","25,",40.814,-73.9281
777036,KIDS COMMUNITY BLOCK PARTY,06/15/2024 11:00:00 AM,06/15/2024 06:30:00 PM,Street Activity Permit Office,Block Party,Manhattan,EAST  117 STREET between FIRST AVENUE and PLEASANT AVENUE,Full,Full Street Closure,"11,","25,",40.814,-73.9281
784097,Renaissance School of the Arts MS 377,08/27/2024 09:00:00 AM,08/27/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  118 STREET between 1 AVENUE and 2 AVENUE,Full,Full Street Closure,"11,","25,",40.8149,-73.9272
766266,Rehoboth Annual Back to School Festival,08/24/2024 11:30:00 AM,08/24/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  118 STREET between LEXINGTON AVENUE and THIRD AVENUE,Full,Full Street Closure,"11,","25,",40.8149,-73.9272
805087,PS/MS 206 - Pilot Open Street Event,09/07/2024 10:00:00 AM,09/07/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  119 STREET between PLEASANT AVENUE and DEAD END,Full,Full Street Closure,"11,","25,",40.8158,-73.9264
796585,Wagner Local NStat,08/01/2024 04:00:00 PM,08/01/2024 07:30:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  120 STREET between 1 AVENUE and PLEASANT AVENUE,Full,Full Street Closure,"11,","25,",40.8167,-73.9255
781130,Family Fun Day,07/07/2024 12:20:00 PM,07/07/2024 03:30:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  120 STREET between 5 AVENUE and MADISON AVENUE,Full,Full Street Closure,"11,","25,",40.8167,-73.9255
801333,District 4 Welcome Back to School Festival,09/21/2024 10:00:00 AM,09/21/2024 02:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  120 STREET between LEXINGTON AVENUE and 3 AVENUE,Full,Full Street Closure,"11,","25,",40.8167,-73.9255
778810,A HEALTHY YOU,07/20/2024 12:00:00 PM,07/20/2024 07:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  123 STREET between 2 AVENUE and 3 AVENUE,Full,Full Street Closure,"11,","25,",40.8195,-73.9237
783614,Ground Breaking- Castle 111,06/24/2024 09:45:00 AM,06/24/2024 12:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  123 STREET between PARK AVENUE and LEXINGTON AVENUE,Full,Full Street Closure,"11,","25,",40.8195,-73.9237
793028,Back to School Rally,09/29/2024 11:30:00 AM,09/29/2024 02:30:00 PM,Street Activity Permit Office,Street Event,Manhattan,EAST  124 STREET between MADISON AVENUE and PARK AVENUE,Full,Full Street Closure,"11,","25,",40.8204,-73.9228
